rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,status,gender,birthDate,lastName,firstName,title,date,state,residenceStateRegion,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country,associated_companies,number_of_companies
636,4300,Healthcare,Hu Kaijun,61.0,China,Beijing,Pharmaceuticals,Healthcare,China,,True,U,M,1/1/1962 0:00,Hu,Kaijun,Founder & Entrepreneur,4/4/2023 5:01,,,1962.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Pharmaceuticals,1
636,4300,Logistics,Johnelle Hunt,91.0,United States,Fayetteville,Trucking,Logistics,United States,,True,D,F,1/4/1932 0:00,Hunt,Johnelle,Founder & Entrepreneur,4/4/2023 5:01,Arkansas,South,1932.0,1.0,4.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Trucking,1
636,4300,Food & Beverage,Marian Ilitch,90.0,United States,Bingham Farms,Little Caesars Pizza,Food & Beverage,United States,,True,D,F,1/7/1933 0:00,Ilitch,Marian,Founder & Entrepreneur,4/4/2023 5:01,Michigan,Midwest,1933.0,1.0,7.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Little Caesars Pizza,1
636,4300,Diversified,Daryl Katz,61.0,Canada,Edmonton,Pharmacies,Diversified,Canada,Katz Group,True,D,M,9/1/1961 0:00,Katz,Daryl,Founder and Chairman,4/4/2023 5:01,,,1961.0,9.0,1.0,116.76,1.9,"$1,736,425,629,520 ",68.9,100.9,81.9,12.8,24.5,36991981.0,56.130366,-106.346771,"Katz Group, Pharmacies",2
636,4300,Metals & Mining,Andrei Kozitsyn,62.0,Russia,Verkhniaya Pyshma,Metals,Metals & Mining,Russia,,True,U,M,6/9/1960 0:00,Kozitsyn,Andrei,Founder & Entrepreneur,4/4/2023 5:01,,,1960.0,6.0,9.0,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756,Metals,1
636,4300,Finance & Investments,Timur Kulibaev,56.0,Kazakhstan,Almaty,Banking,Finance & Investments,Kazakhstan,,True,U,M,9/10/1966 0:00,Kulibaev,Timur,Founder & Entrepreneur,4/4/2023 5:01,,,1966.0,9.0,10.0,182.75,5.2,"$180,161,741,180 ",61.7,104.4,73.2,11.7,28.4,18513930.0,48.019573,66.923684,Banking,1
636,4300,Finance & Investments,Dinara Kulibaeva,55.0,Kazakhstan,Almaty,Banking,Finance & Investments,Kazakhstan,,False,U,F,8/19/1967 0:00,Kulibaeva,Dinara,Heir & Major Shareholder,4/4/2023 5:01,,,1967.0,8.0,19.0,182.75,5.2,"$180,161,741,180 ",61.7,104.4,73.2,11.7,28.4,18513930.0,48.019573,66.923684,Banking,1
636,4300,Real Estate,Ian Livingstone,60.0,,,Real estate,Real Estate,United Kingdom,,True,Split Family Fortune,M,5/22/1962 0:00,Livingstone,Ian,Founder & Entrepreneur,4/4/2023 5:01,,,1962.0,5.0,22.0,,,,,,,,,,,,Real estate,1
636,4300,Real Estate,Richard Livingstone,58.0,,,Real estate,Real Estate,United Kingdom,,True,Split Family Fortune,M,11/29/1964 0:00,Livingstone,Richard,Founder & Entrepreneur,4/4/2023 5:01,,,1964.0,11.0,29.0,,,,,,,,,,,,Real estate,1
636,4300,Food & Beverage,Gwendolyn Sontheim Meyer,61.0,United States,Rancho Santa Fe,Cargill,Food & Beverage,United States,,False,D,F,10/27/1961 0:00,Meyer,Gwendolyn Sontheim,Heir & Major Shareholder,4/4/2023 5:01,California,West,1961.0,10.0,27.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Cargill,1
636,4300,Real Estate,Jay Paul,75.0,United States,San Francisco,Real estate,Real Estate,United States,,True,U,M,7/8/1947 0:00,Paul,Jay,Founder & Entrepreneur,4/4/2023 5:01,California,West,1947.0,7.0,8.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Real estate,1
636,4300,Diversified,Pham Nhat Vuong,54.0,Vietnam,Hanoi,Diversified,Diversified,Vietnam,,True,D,M,8/5/1968 0:00,Pham,Nhat Vuong,Founder & Entrepreneur,4/4/2023 5:01,,,1968.0,8.0,5.0,163.52,2.8,"$261,921,244,843 ",28.5,110.6,75.3,19.1,37.6,96462106.0,14.058324,108.277199,Diversified,10
636,4300,Healthcare,Jon Stryker,64.0,United States,New York,Medical equipment,Healthcare,United States,,False,U,M,5/3/1958 0:00,Stryker,Jon,Heir & Major Shareholder,4/4/2023 5:01,New York,Northeast,1958.0,5.0,3.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Medical equipment,1
636,4300,Finance & Investments,Daniel Tsai,66.0,Taiwan,Taipei,Finance,Finance & Investments,Taiwan,,False,D,M,4/25/1956 0:00,Tsai,Daniel,Heir & Major Shareholder,4/4/2023 5:01,,,1956.0,4.0,25.0,,,,,,,,,,,,Finance,1
636,4300,Finance & Investments,Richard Tsai,65.0,Taiwan,Taipei,Finance,Finance & Investments,Taiwan,,False,D,M,6/2/1957 0:00,Tsai,Richard,Heir & Major Shareholder,4/4/2023 5:01,,,1957.0,6.0,2.0,,,,,,,,,,,,Finance,1
636,4300,Technology,Frank Wang,42.0,China,Shenzhen,Drones,Technology,China,DJI Technology Co.,True,D,M,10/30/1980 0:00,Wang,Frank,Founder and CEO,4/4/2023 5:01,,,1980.0,10.0,30.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,"DJI Technology Co., Drones",2
636,4300,Manufacturing,Wang Junshi & family,74.0,China,Ningbo,Solar inverters,Manufacturing,China,,True,D,M,1/1/1949 0:00,Wang,Junshi,Controlling Shareholder & (Family Estate),4/4/2023 5:01,,,1949.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Solar inverters,1
636,4300,Technology,Wang Wenjing,58.0,China,Beijing,Business software,Technology,China,,True,D,M,12/5/1964 0:00,Wang,Wenjing,Founder & Entrepreneur,4/4/2023 5:01,,,1964.0,12.0,5.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Business software,1
636,4300,Finance & Investments,Herbert Wertheim,83.0,United States,Coral Gables,Investments,Finance & Investments,United States,,True,U,M,5/23/1939 0:00,Wertheim,Herbert,Founder & Entrepreneur,4/4/2023 5:01,Florida,South,1939.0,5.0,23.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Investments,1
659,4200,Service,Shari Arison,65.0,Israel,Tel Aviv,Carnival Cruises,Service,Israel,,False,D,F,9/9/1957 0:00,Arison,Shari,Heir & Major Shareholder,4/4/2023 5:01,,,1957.0,9.0,9.0,108.15,0.8,"$395,098,666,122 ",63.4,104.9,82.8,23.1,25.3,9053300.0,31.046051,34.851612,Carnival Cruises,1
659,4200,Finance & Investments,Pyotr Aven,68.0,Latvia,,"Oil, banking, telecom",Finance & Investments,Russia,,True,D,M,3/16/1955 0:00,Aven,Pyotr,Founder & Entrepreneur & Oil & banking,4/4/2023 5:01,,,1955.0,3.0,16.0,116.86,2.8,"$34,117,202,555 ",88.1,99.4,74.7,22.9,38.1,1912789.0,56.879635,24.603189,"Oil, banking, telecom",3
659,4200,Real Estate,Chan Laiwa & family,82.0,China,Beijing,Real estate,Real Estate,China,,True,D,F,1/1/1941 0:00,Chan,Laiwa,Controlling Shareholder & (Family ),4/4/2023 5:01,,,1941.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Real estate,1
659,4200,Real Estate,Chen Hua,57.0,China,Shenzhen,Real estate,Real Estate,China,,True,U,M,1/1/1966 0:00,Chen,Hua,Founder & Entrepreneur,4/4/2023 5:01,,,1966.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Real estate,1
659,4200,Finance & Investments,Thomas Hagen,87.0,United States,Erie,Insurance,Finance & Investments,United States,,False,U,M,1/1/1936 0:00,Hagen,Thomas,Heir & Major Shareholder,4/4/2023 5:01,Pennsylvania,Northeast,1936.0,1.0,1.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Insurance,1
659,4200,Finance & Investments,"Rupert Johnson, Jr.",82.0,United States,Burlingame,Franklin Templeton,Finance & Investments,United States,Franklin Resources Inc.,False,D,M,8/10/1940 0:00,Johnson,Rupert,Vice Chairman and Director,4/4/2023 5:01,California,West,1940.0,8.0,10.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,"Franklin Resources Inc., Franklin Templeton",2
659,4200,Energy,Dewi Kam,72.0,Indonesia,Jakarta,Coal,Energy,Indonesia,,True,N,F,7/23/1950 0:00,Kam,Dewi,Founder & Entrepreneur,4/4/2023 5:01,,,1950.0,7.0,23.0,151.18,3.0,"$1,119,190,780,753 ",36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327,Coal,1
659,4200,Technology,Min Kao & family,74.0,United States,Leawood,Navigation equipment,Technology,United States,,True,D,M,1/10/1949 0:00,Kao,Min,Controlling Shareholder & (Family Estate),4/4/2023 5:01,Kansas,Midwest,1949.0,1.0,10.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Navigation equipment,1
659,4200,Finance & Investments,Marc Ladreit de Lacharriere,82.0,France,Paris,Finance,Finance & Investments,France,,True,U,M,11/6/1940 0:00,Ladreit de Lacharriere,Marc,Founder & Entrepreneur,4/4/2023 5:01,,,1940.0,11.0,6.0,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749,Finance,1
659,4200,Technology,Eric Lefkofsky,53.0,United States,Glencoe,"Groupon, investments",Technology,United States,Groupon,True,U,M,9/2/1969 0:00,Lefkofsky,Eric,Chairman & Groupon,4/4/2023 5:01,Illinois,Midwest,1969.0,9.0,2.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,"Groupon, investments",2
659,4200,Technology,Lin Bin,55.0,China,Shenzhen,Smartphones,Technology,United States,,True,D,M,2/1/1968 0:00,Lin,Bin,Founder & Entrepreneur,4/4/2023 5:01,,,1968.0,2.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Smartphones,1
659,4200,Finance & Investments,Lin Li,59.0,China,Shenzhen,Investments,Finance & Investments,China,,True,D,M,5/1/1963 0:00,Lin,Li,Founder & Entrepreneur,4/4/2023 5:01,,,1963.0,5.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Investments,1
659,4200,Technology,Michael Moritz,68.0,United States,San Francisco,Venture capital,Technology,United States,Sequoia,True,D,M,9/12/1954 0:00,Moritz,Michael,Founder & Lead Investor,4/4/2023 5:01,California,West,1954.0,9.0,12.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,"Sequoia, Venture capital",2
659,4200,Service,Jean (Gigi) Pritzker,60.0,United States,Los Angeles,"Hotels, investments",Service,United States,,False,U,F,7/1/1962 0:00,Pritzker,Jean (Gigi),Heir & Major Shareholder & Hotels,4/4/2023 5:01,California,West,1962.0,7.0,1.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,"Hotels, investments",2
659,4200,Automotive,E. Joe Shoen,73.0,United States,Phoenix,U-Haul,Automotive,United States,,False,U,M,10/28/1949 0:00,Shoen,E. Joe,Heir & Major Shareholder,4/4/2023 5:01,Arizona,West,1949.0,10.0,28.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,U-Haul,1
659,4200,Technology,Jeff Skoll,58.0,United States,Los Angeles,EBay,Technology,United States,,True,D,M,1/16/1965 0:00,Skoll,Jeff,Founder & Entrepreneur,4/4/2023 5:01,California,West,1965.0,1.0,16.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,EBay,1
659,4200,Food & Beverage,Lynsi Snyder,40.0,United States,Glendora,In-N-Out Burger,Food & Beverage,United States,,False,E,F,5/5/1982 0:00,Snyder,Lynsi,Heir & Major Shareholder,4/4/2023 5:01,California,West,1982.0,5.0,5.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,In-N-Out Burger,1
659,4200,Fashion & Retail,Djoko Susanto,73.0,Indonesia,Jakarta,Supermarkets,Fashion & Retail,Indonesia,,True,U,M,2/9/1950 0:00,Susanto,Djoko,Founder & Entrepreneur,4/4/2023 5:01,,,1950.0,2.0,9.0,151.18,3.0,"$1,119,190,780,753 ",36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327,Supermarkets,1
659,4200,Diversified,Tahir & family,71.0,Indonesia,Jakarta,Diversified,Diversified,Indonesia,,True,U,M,3/26/1952 0:00,Tahir,,Controlling Shareholder & (Family Estate),4/4/2023 5:01,,,1952.0,3.0,26.0,151.18,3.0,"$1,119,190,780,753 ",36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327,Diversified,10
659,4200,Finance & Investments,Peter Thiel,55.0,United States,Los Angeles,"Facebook, investments",Finance & Investments,United States,Founders Fund,True,D,M,10/11/1967 0:00,Thiel,Peter,Founder & Lead Investor & Facebook,4/4/2023 5:01,California,West,1967.0,10.0,11.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,"Facebook, Founders Fund, investments",3
679,4100,Food & Beverage,Andrej Babis,68.0,Czech Republic,Prague,Agriculture,Food & Beverage,Czech Republic,,True,D,M,9/2/1954 0:00,Babis,Andrej,Founder & Entrepreneur,4/4/2023 5:01,,,1954.0,9.0,2.0,116.48,2.8,"$246,489,245,495 ",64.1,100.7,79.0,14.9,46.1,10669709.0,49.817492,15.472962,Agriculture,1
679,4100,Service,Danielle Bellon & family,83.0,France,Paris,Food services,Service,France,,False,U,F,2/8/1940 0:00,Bellon,Danielle,Controlling Shareholder & (Family Estate),4/4/2023 5:01,,,1940.0,2.0,8.0,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749,Food services,1
679,4100,Media & Entertainment,Hubert Burda,83.0,Germany,Munich,Publishing,Media & Entertainment,Germany,,False,U,M,2/9/1940 0:00,Burda,Hubert,Heir & Major Shareholder,4/4/2023 5:01,,,1940.0,2.0,9.0,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526,Publishing,1
679,4100,Food & Beverage,Nick Caporella,87.0,United States,Plantation,Beverages,Food & Beverage,United States,,True,U,M,1/15/1936 0:00,Caporella,Nick,Founder & Entrepreneur,4/4/2023 5:01,Florida,South,1936.0,1.0,15.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Beverages,1
679,4100,Energy,John Catsimatidis,74.0,United States,New York,"Oil, real estate",Energy,United States,,True,U,M,9/7/1948 0:00,Catsimatidis,John,Founder & Entrepreneur & Oil,4/4/2023 5:01,New York,Northeast,1948.0,9.0,7.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,"Oil, real estate",2
679,4100,Technology,Scott Cook,70.0,United States,Woodside,Software,Technology,United States,,True,D,M,7/26/1952 0:00,Cook,Scott,Founder & Entrepreneur,4/4/2023 5:01,California,West,1952.0,7.0,26.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Software,1
679,4100,Food & Beverage,Luca Garavoglia,54.0,Italy,Milan,Spirits,Food & Beverage,Italy,,False,U,M,2/27/1969 0:00,Garavoglia,Luca,Heir & Major Shareholder,4/4/2023 5:01,,,1969.0,2.0,27.0,110.62,0.6,"$2,001,244,392,042 ",61.9,101.9,82.9,24.3,59.1,60297396.0,41.87194,12.56738,Spirits,1
679,4100,Manufacturing,Antti Herlin,66.0,Finland,Kirkkonummi,"Elevators, escalators",Manufacturing,Finland,,False,D,M,11/14/1956 0:00,Herlin,Antti,Heir & Major Shareholder & Elevators,4/4/2023 5:01,,,1956.0,11.0,14.0,112.33,1.0,"$268,761,201,365 ",88.2,100.2,81.7,20.8,36.6,5520314.0,61.92411,25.748151,"Elevators, escalators",2
679,4100,Manufacturing,Hong Jie,55.0,China,Putian,Paint,Manufacturing,China,,True,U,M,10/1/1967 0:00,Hong,Jie,Founder & Entrepreneur,4/4/2023 5:01,,,1967.0,10.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Paint,1
679,4100,Service,"Jeremy Jacobs, Sr. & family",83.0,United States,East Aurora,Food service,Service,United States,,False,U,M,1/21/1940 0:00,Jacobs,Jeremy,Controlling Shareholder & (Family Estate),4/4/2023 5:01,New York,Northeast,1940.0,1.0,21.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Food service,1
679,4100,Fashion & Retail,Igor Kesaev,56.0,Russia,Moscow,"Tobacco distribution, retail",Fashion & Retail,Russia,,True,U,M,10/30/1966 0:00,Kesaev,Igor,Founder & Entrepreneur & distribution,4/4/2023 5:01,,,1966.0,10.0,30.0,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756,"Tobacco distribution, retail",2
679,4100,Food & Beverage,Mary Alice Dorrance Malone,73.0,United States,Coatesville,Campbell Soup,Food & Beverage,United States,,False,U,F,2/3/1950 0:00,Malone,Mary Alice Dorrance,Heir & Major Shareholder,4/4/2023 5:01,Pennsylvania,Northeast,1950.0,2.0,3.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Campbell Soup,1
679,4100,Diversified,Joao Moreira Salles,61.0,Brazil,Rio de Janeiro,"Banking, minerals",Diversified,Brazil,,False,U,M,1/1/1962 0:00,Moreira Salles,Joao,Heir & Major Shareholder & Banking,4/4/2023 5:01,,,1962.0,1.0,1.0,167.4,3.7,"$1,839,758,040,766 ",51.3,115.4,75.7,14.2,65.1,212559417.0,-14.235004,-51.92528,"Banking, minerals",2
679,4100,Finance & Investments,Walther Moreira Salles Junior,66.0,Brazil,Rio de Janeiro,"Banking, minerals",Finance & Investments,Brazil,,False,U,M,4/12/1956 0:00,Moreira Salles Junior,Walther,Heir & Major Shareholder & Banking,4/4/2023 5:01,,,1956.0,4.0,12.0,167.4,3.7,"$1,839,758,040,766 ",51.3,115.4,75.7,14.2,65.1,212559417.0,-14.235004,-51.92528,"Banking, minerals",2
679,4100,Sports,Arturo Moreno,76.0,United States,Phoenix,"Billboards, Los Angeles Angels",Sports,United States,,True,U,M,8/14/1946 0:00,Moreno,Arturo,Founder & Entrepreneur & Billboards & Los,4/4/2023 5:01,Arizona,West,1946.0,8.0,14.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,"Billboards, Los Angeles Angels",2
679,4100,Manufacturing,Peter Spuhler,63.0,Switzerland,Weiningen,Train cars,Manufacturing,Switzerland,,True,D,M,9/1/1959 0:00,Spuhler,Peter,Founder & Entrepreneur,4/4/2023 5:01,,,1959.0,9.0,1.0,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512,Train cars,1
679,4100,Real Estate,Donald Sterling,88.0,United States,Beverly Hills,Real estate,Real Estate,United States,,True,U,M,4/26/1934 0:00,Sterling,Donald,Founder & Entrepreneur,4/4/2023 5:01,California,West,1934.0,4.0,26.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Real estate,1
679,4100,Diversified,Kerry Stokes,82.0,Australia,Perth,"Construction equipment, media",Diversified,Australia,,True,D,M,9/13/1940 0:00,Stokes,Kerry,Founder & Entrepreneur & equipment,4/4/2023 5:01,,,1940.0,9.0,13.0,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136,"Construction equipment, media",2
679,4100,Technology,Ken Xie,60.0,United States,Los Altos Hills,Cybersecurity,Technology,United States,,True,D,M,1/26/1963 0:00,Xie,Ken,Founder & Entrepreneur,4/4/2023 5:01,California,West,1963.0,1.0,26.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Cybersecurity,1
679,4100,Healthcare,Liangzhi Xie & family,57.0,China,Beijing,Biotech,Healthcare,China,,True,D,M,1/1/1966 0:00,Xie,Liangzhi,Controlling Shareholder & (Family Estate),4/4/2023 5:01,,,1966.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Biotech,1
699,4000,Energy,Sid Bass,80.0,United States,Fort Worth,"Oil, investments",Energy,United States,,False,U,M,4/9/1942 0:00,Bass,Sid,Heir & Major Shareholder & Oil,4/4/2023 5:01,Texas,South,1942.0,4.0,9.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,"Oil, investments",2
699,4000,Technology,Ben Chestnut,48.0,United States,Atlanta,Email marketing,Technology,United States,,True,D,M,6/15/1974 0:00,Chestnut,Ben,Founder & Entrepreneur,4/4/2023 5:01,Georgia,South,1974.0,6.0,15.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Email marketing,1
699,4000,Food & Beverage,Elisabeth DeLuca & family,75.0,United States,,Subway,Food & Beverage,United States,,False,N,F,7/25/1947 0:00,DeLuca,Elisabeth,Controlling Shareholder & (Family Estate),4/4/2023 5:01,,South,1947.0,7.0,25.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Subway,1
699,4000,Diversified,Guangchang Guo,56.0,China,Shanghai,Conglomerate,Diversified,China,,True,D,M,2/16/1967 0:00,Guo,Guangchang,Founder & Entrepreneur,4/4/2023 5:01,,,1967.0,2.0,16.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Conglomerate,1
699,4000,Manufacturing,Vinod Rai Gupta,77.0,India,Delhi,Electrical equipment,Manufacturing,India,,False,U,F,9/15/1945 0:00,Gupta,Vinod Rai,Heir & Major Shareholder,4/4/2023 5:01,,,1945.0,9.0,15.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,Electrical equipment,1
699,4000,Sports,John Henry,73.0,United States,Boca Raton,Sports,Sports,United States,,True,U,M,9/13/1949 0:00,Henry,John,Founder & Entrepreneur,4/4/2023 5:01,Florida,South,1949.0,9.0,13.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Sports,1
699,4000,Technology,Travis Kalanick,46.0,United States,Los Angeles,Uber,Technology,United States,Uber Technologies Inc.,True,U,M,8/6/1976 0:00,Kalanick,Travis,Founder & Lead Investor,4/4/2023 5:01,California,West,1976.0,8.0,6.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,"Uber, Uber Technologies Inc.",2
699,4000,Manufacturing,Koon Poh Keong,61.0,Malaysia,Petaling Jaya,Aluminum,Manufacturing,Malaysia,,True,D,M,4/25/1961 0:00,Koon,Poh Keong,Founder & Entrepreneur,4/4/2023 5:01,,,1961.0,4.0,25.0,121.46,0.7,"$364,701,517,788 ",45.1,105.3,76.0,12.0,38.7,32447385.0,4.210484,101.975766,Aluminum,1
699,4000,Technology,Dan Kurzius,51.0,United States,Atlanta,Email marketing,Technology,United States,,True,D,M,12/1/1971 0:00,Kurzius,Dan,Founder & Entrepreneur,4/4/2023 5:01,Georgia,South,1971.0,12.0,1.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Email marketing,1
699,4000,Manufacturing,Paul Lee,65.0,China,Yuxi,Battery separators,Manufacturing,United States,,True,D,M,1/1/1958 0:00,Lee,Paul,Founder & Entrepreneur,4/4/2023 5:01,,,1958.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Battery separators,1
699,4000,Technology,Tobi Lutke,42.0,Canada,Ottawa,E-commerce,Technology,Canada,,True,D,M,7/16/1980 0:00,Lutke,Tobi,Founder & Entrepreneur,4/4/2023 5:01,,,1980.0,7.0,16.0,116.76,1.9,"$1,736,425,629,520 ",68.9,100.9,81.9,12.8,24.5,36991981.0,56.130366,-106.346771,E-commerce,1
699,4000,Automotive,Gail Miller,79.0,United States,Salt Lake City,Car dealerships,Automotive,United States,,True,U,F,10/14/1943 0:00,Miller,Gail,Founder & Entrepreneur & Car,4/4/2023 5:01,Utah,West,1943.0,10.0,14.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Car dealerships,1
699,4000,Telecom,Rajan Mittal,63.0,India,Delhi,Telecom,Telecom,India,,False,Split Family Fortune,M,1/5/1960 0:00,Mittal,Rajan,Heir & Major Shareholder,4/4/2023 5:01,,,1960.0,1.0,5.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,Telecom,1
699,4000,Telecom,Rakesh Mittal,67.0,India,Delhi,Telecom,Telecom,India,,False,Split Family Fortune,M,9/18/1955 0:00,Mittal,Rakesh,Heir & Major Shareholder,4/4/2023 5:01,,,1955.0,9.0,18.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,Telecom,1
699,4000,Media & Entertainment,Isaac Perlmutter,80.0,United States,Palm Beach,Marvel comics,Media & Entertainment,United States,Marvel Entertainment,True,D,M,12/1/1942 0:00,Perlmutter,Isaac,Chairman,4/4/2023 5:01,Florida,South,1942.0,12.0,1.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,"Marvel Entertainment, Marvel comics",2
